| theta_a_raw | theta_g_raw | theta_a | theta_g | theta_f |

|       0.005 |       0.000 |   0.000 |   0.000 |   0.000 |
|       0.025 |       0.000 |   0.001 |   0.000 |   0.001 |
|       0.027 |       0.000 |   0.001 |   0.000 |   0.001 |
|       0.037 |       0.000 |   0.002 |   0.000 |   0.002 |
|       0.023 |       0.000 |   0.002 |   0.000 |   0.003 |
|       0.054 |       0.000 |   0.003 |   0.000 |   0.004 |
|       0.036 |       0.000 |   0.004 |   0.000 |   0.004 |
|       0.038 |      -0.000 |   0.005 |  -0.000 |   0.005 |
|       0.020 |      -0.000 |   0.005 |  -0.000 |   0.005 |
|       0.021 |      -0.000 |   0.005 |  -0.000 |   0.005 |
|      -0.004 |      -0.001 |   0.005 |  -0.001 |   0.004 |
|       0.018 |      -0.001 |   0.005 |  -0.001 |   0.004 |
|       0.037 |      -0.001 |   0.006 |  -0.001 |   0.005 |
|       0.021 |      -0.001 |   0.006 |  -0.001 |   0.006 |
|      -0.019 |      -0.001 |   0.006 |  -0.001 |   0.005 |
|      -0.007 |      -0.000 |   0.005 |  -0.000 |   0.005 |
|       0.023 |      -0.000 |   0.006 |  -0.000 |   0.006 |
|       0.007 |       0.000 |   0.006 |   0.000 |   0.006 |
|       0.001 |       0.000 |   0.006 |   0.000 |   0.006 |
|      -0.003 |       0.000 |   0.006 |   0.000 |   0.006 |
|       0.006 |      -0.000 |   0.006 |  -0.000 |   0.005 |
|       0.011 |      -0.001 |   0.006 |  -0.001 |   0.005 |
|       0.045 |      -0.001 |   0.006 |  -0.001 |   0.006 |
|       0.071 |      -0.001 |   0.008 |  -0.001 |   0.007 |
|       0.065 |      -0.000 |   0.009 |  -0.000 |   0.009 |
|       0.054 |      -0.000 |   0.010 |  -0.000 |   0.010 |
|       0.062 |       0.000 |   0.011 |   0.000 |   0.011 |
|       0.070 |       0.001 |   0.012 |   0.001 |   0.013 |
|       0.035 |       0.001 |   0.012 |   0.002 |   0.014 |
|      -0.003 |       0.002 |   0.012 |   0.002 |   0.014 |
|       0.009 |       0.002 |   0.012 |   0.002 |   0.014 |
|      -0.010 |       0.001 |   0.012 |   0.001 |   0.013 |
|       0.010 |       0.001 |   0.012 |   0.001 |   0.013 |
|      -0.010 |       0.001 |   0.011 |   0.001 |   0.012 |
|      -0.007 |       0.001 |   0.011 |   0.001 |   0.012 |
|      -0.024 |       0.001 |   0.010 |   0.001 |   0.011 |
|      -0.025 |       0.001 |   0.009 |   0.001 |   0.011 |
|      -0.000 |       0.002 |   0.009 |   0.002 |   0.011 |
|       0.032 |       0.002 |   0.010 |   0.002 |   0.012 |
|       0.053 |       0.003 |   0.011 |   0.003 |   0.013 |
|       0.038 |       0.003 |   0.011 |   0.003 |   0.014 |
|       0.038 |       0.004 |   0.012 |   0.003 |   0.015 |
|       0.039 |       0.004 |   0.012 |   0.004 |   0.016 |
|       0.039 |       0.004 |   0.013 |   0.004 |   0.016 |
|       0.030 |       0.004 |   0.013 |   0.003 |   0.017 |
|       0.024 |       0.004 |   0.013 |   0.003 |   0.017 |
|       0.023 |       0.004 |   0.014 |   0.003 |   0.017 |
|       0.020 |       0.004 |   0.014 |   0.003 |   0.017 |
|       0.008 |       0.004 |   0.014 |   0.003 |   0.017 |
|       0.007 |       0.004 |   0.013 |   0.003 |   0.017 |
|       0.005 |       0.004 |   0.013 |   0.003 |   0.017 |
|       0.022 |       0.004 |   0.013 |   0.003 |   0.017 |
|       0.026 |       0.004 |   0.014 |   0.003 |   0.017 |
|       0.015 |       0.004 |   0.014 |   0.003 |   0.017 |
|       0.022 |       0.004 |   0.014 |   0.003 |   0.017 |
|      -0.012 |       0.004 |   0.013 |   0.003 |   0.016 |
|      -0.045 |       0.004 |   0.012 |   0.003 |   0.015 |
|       0.076 |       0.004 |   0.013 |   0.003 |   0.016 |
|       0.023 |       0.005 |   0.014 |   0.003 |   0.017 |
|      -0.003 |       0.005 |   0.013 |   0.004 |   0.017 |
|       0.045 |       0.005 |   0.014 |   0.004 |   0.018 |
|       0.044 |       0.006 |   0.015 |   0.004 |   0.019 |
|       0.033 |       0.006 |   0.015 |   0.004 |   0.019 |
|       0.018 |       0.006 |   0.015 |   0.004 |   0.019 |
|       0.027 |       0.006 |   0.015 |   0.004 |   0.019 |
|       0.021 |       0.006 |   0.015 |   0.004 |   0.019 |
|       0.016 |       0.006 |   0.015 |   0.004 |   0.019 |
|       0.015 |       0.006 |   0.015 |   0.003 |   0.019 |
|       0.009 |       0.006 |   0.015 |   0.003 |   0.019 |
|      -0.005 |       0.006 |   0.015 |   0.003 |   0.018 |
|      -0.001 |       0.006 |   0.014 |   0.003 |   0.018 |
|       0.007 |       0.006 |   0.014 |   0.004 |   0.018 |
|       0.014 |       0.007 |   0.014 |   0.004 |   0.018 |
|      -0.009 |       0.007 |   0.014 |   0.005 |   0.018 |
|       0.011 |       0.008 |   0.014 |   0.005 |   0.019 |
|       0.022 |       0.008 |   0.014 |   0.005 |   0.019 |
|       0.022 |       0.009 |   0.014 |   0.006 |   0.020 |
|       0.020 |       0.009 |   0.014 |   0.006 |   0.020 |
|       0.034 |       0.010 |   0.015 |   0.006 |   0.021 |
|       0.038 |       0.010 |   0.015 |   0.007 |   0.022 |
|       0.037 |       0.010 |   0.016 |   0.007 |   0.022 |
|       0.038 |       0.010 |   0.016 |   0.007 |   0.023 |
|       0.032 |       0.011 |   0.016 |   0.007 |   0.023 |
|       0.023 |       0.011 |   0.016 |   0.007 |   0.023 |
|       0.010 |       0.011 |   0.016 |   0.007 |   0.023 |
|       0.015 |       0.011 |   0.016 |   0.007 |   0.023 |
|       0.007 |       0.011 |   0.016 |   0.007 |   0.023 |
|       0.007 |       0.011 |   0.016 |   0.007 |   0.023 |
|       0.012 |       0.011 |   0.016 |   0.007 |   0.022 |
|       0.019 |       0.011 |   0.016 |   0.006 |   0.022 |
|       0.024 |       0.011 |   0.016 |   0.007 |   0.023 |
|       0.022 |       0.011 |   0.016 |   0.007 |   0.023 |
|       0.026 |       0.012 |   0.016 |   0.007 |   0.023 |
|       0.026 |       0.012 |   0.017 |   0.007 |   0.023 |
|       0.022 |       0.012 |   0.017 |   0.007 |   0.024 |
|       0.021 |       0.012 |   0.017 |   0.007 |   0.024 |
|       0.023 |       0.013 |   0.017 |   0.007 |   0.024 |
|       0.026 |       0.013 |   0.017 |   0.007 |   0.024 |
|       0.026 |       0.013 |   0.017 |   0.007 |   0.024 |
|       0.027 |       0.013 |   0.017 |   0.007 |   0.025 |
|       0.024 |       0.013 |   0.018 |   0.007 |   0.025 |
|       0.018 |       0.014 |   0.018 |   0.007 |   0.025 |
|       0.029 |       0.014 |   0.018 |   0.007 |   0.025 |
|       0.024 |       0.014 |   0.018 |   0.007 |   0.025 |
|       0.019 |       0.014 |   0.018 |   0.007 |   0.025 |
|       0.016 |       0.014 |   0.018 |   0.007 |   0.025 |
|       0.021 |       0.014 |   0.018 |   0.007 |   0.025 |
|       0.015 |       0.014 |   0.018 |   0.007 |   0.025 |
|       0.013 |       0.014 |   0.018 |   0.007 |   0.025 |
|       0.013 |       0.014 |   0.018 |   0.007 |   0.025 |
|       0.019 |       0.015 |   0.018 |   0.007 |   0.025 |
|       0.021 |       0.015 |   0.018 |   0.007 |   0.025 |
|       0.024 |       0.015 |   0.018 |   0.007 |   0.025 |
|       0.026 |       0.015 |   0.018 |   0.007 |   0.025 |
|       0.022 |       0.015 |   0.018 |   0.007 |   0.026 |
|       0.027 |       0.016 |   0.018 |   0.008 |   0.026 |
|       0.025 |       0.016 |   0.018 |   0.007 |   0.026 |
|       0.024 |       0.016 |   0.019 |   0.007 |   0.026 |
|       0.017 |       0.016 |   0.019 |   0.007 |   0.026 |
|       0.023 |       0.016 |   0.019 |   0.007 |   0.026 |
|       0.015 |       0.016 |   0.019 |   0.007 |   0.026 |
|       0.018 |       0.017 |   0.019 |   0.008 |   0.026 |
|       0.021 |       0.017 |   0.019 |   0.008 |   0.026 |
|       0.017 |       0.017 |   0.019 |   0.008 |   0.026 |
|       0.019 |       0.017 |   0.019 |   0.007 |   0.026 |
|       0.013 |       0.017 |   0.018 |   0.007 |   0.026 |
|       0.014 |       0.017 |   0.018 |   0.007 |   0.026 |
|       0.020 |       0.017 |   0.018 |   0.007 |   0.026 |
|       0.024 |       0.017 |   0.019 |   0.007 |   0.026 |
|       0.026 |       0.018 |   0.019 |   0.007 |   0.026 |
|       0.023 |       0.018 |   0.019 |   0.007 |   0.026 |
|       0.019 |       0.018 |   0.019 |   0.007 |   0.026 |
|       0.026 |       0.018 |   0.019 |   0.008 |   0.027 |
|       0.028 |       0.019 |   0.019 |   0.008 |   0.027 |
|       0.025 |       0.019 |   0.019 |   0.008 |   0.027 |
|       0.027 |       0.019 |   0.019 |   0.008 |   0.027 |
|       0.027 |       0.019 |   0.020 |   0.008 |   0.027 |
|       0.021 |       0.019 |   0.020 |   0.007 |   0.027 |
|       0.021 |       0.019 |   0.020 |   0.007 |   0.027 |
|       0.020 |       0.019 |   0.020 |   0.007 |   0.027 |
|       0.022 |       0.019 |   0.020 |   0.008 |   0.027 |
|       0.024 |       0.020 |   0.020 |   0.008 |   0.027 |
|       0.019 |       0.020 |   0.020 |   0.007 |   0.027 |
|       0.024 |       0.020 |   0.020 |   0.007 |   0.027 |
|       0.019 |       0.020 |   0.020 |   0.007 |   0.027 |
|       0.022 |       0.020 |   0.020 |   0.007 |   0.027 |
|       0.019 |       0.020 |   0.020 |   0.007 |   0.027 |
|       0.017 |       0.020 |   0.020 |   0.007 |   0.027 |
|       0.021 |       0.020 |   0.020 |   0.007 |   0.027 |
|       0.027 |       0.020 |   0.020 |   0.007 |   0.027 |
|       0.027 |       0.021 |   0.020 |   0.007 |   0.027 |
|       0.023 |       0.021 |   0.020 |   0.007 |   0.027 |
|       0.023 |       0.021 |   0.020 |   0.007 |   0.027 |
|       0.015 |       0.021 |   0.020 |   0.007 |   0.027 |
|       0.016 |       0.021 |   0.020 |   0.007 |   0.027 |
|       0.025 |       0.021 |   0.020 |   0.007 |   0.027 |
|       0.019 |       0.021 |   0.020 |   0.007 |   0.027 |
|       0.024 |       0.021 |   0.020 |   0.007 |   0.027 |
|       0.020 |       0.022 |   0.020 |   0.007 |   0.027 |
|       0.017 |       0.022 |   0.020 |   0.007 |   0.027 |
|       0.020 |       0.022 |   0.020 |   0.007 |   0.027 |
|       0.018 |       0.022 |   0.020 |   0.007 |   0.027 |
|       0.015 |       0.022 |   0.020 |   0.007 |   0.027 |
|       0.025 |       0.022 |   0.020 |   0.007 |   0.027 |
|       0.025 |       0.022 |   0.020 |   0.007 |   0.027 |
|       0.012 |       0.023 |   0.020 |   0.007 |   0.027 |
|       0.023 |       0.023 |   0.020 |   0.007 |   0.027 |
|       0.019 |       0.023 |   0.020 |   0.007 |   0.027 |
|       0.020 |       0.023 |   0.020 |   0.007 |   0.027 |
|       0.025 |       0.023 |   0.020 |   0.007 |   0.027 |
|       0.030 |       0.023 |   0.020 |   0.007 |   0.027 |
|       0.024 |       0.023 |   0.020 |   0.007 |   0.027 |
|       0.021 |       0.024 |   0.020 |   0.007 |   0.027 |
|       0.027 |       0.024 |   0.021 |   0.007 |   0.027 |
|       0.024 |       0.024 |   0.021 |   0.007 |   0.028 |
|       0.024 |       0.024 |   0.021 |   0.007 |   0.028 |
|       0.021 |       0.024 |   0.021 |   0.007 |   0.028 |
|       0.016 |       0.024 |   0.021 |   0.007 |   0.028 |
|       0.021 |       0.025 |   0.021 |   0.007 |   0.028 |
|       0.014 |       0.025 |   0.020 |   0.007 |   0.028 |
|       0.024 |       0.025 |   0.020 |   0.007 |   0.028 |
|       0.023 |       0.025 |   0.021 |   0.007 |   0.028 |
|       0.025 |       0.025 |   0.021 |   0.007 |   0.028 |
|       0.023 |       0.025 |   0.021 |   0.007 |   0.028 |
|       0.022 |       0.026 |   0.021 |   0.007 |   0.028 |
|       0.024 |       0.026 |   0.021 |   0.007 |   0.028 |
|       0.023 |       0.026 |   0.021 |   0.007 |   0.028 |
|       0.016 |       0.026 |   0.021 |   0.007 |   0.028 |
|       0.027 |       0.026 |   0.021 |   0.007 |   0.028 |
|       0.028 |       0.026 |   0.021 |   0.007 |   0.028 |
|       0.026 |       0.027 |   0.021 |   0.007 |   0.029 |
|       0.025 |       0.027 |   0.021 |   0.008 |   0.029 |
|       0.026 |       0.027 |   0.021 |   0.008 |   0.029 |
|       0.024 |       0.027 |   0.021 |   0.008 |   0.029 |
|       0.021 |       0.027 |   0.021 |   0.008 |   0.029 |
|       0.017 |       0.027 |   0.021 |   0.007 |   0.029 |
|       0.020 |       0.028 |   0.021 |   0.008 |   0.029 |
|       0.023 |       0.028 |   0.021 |   0.007 |   0.029 |
|       0.018 |       0.028 |   0.021 |   0.007 |   0.029 |
|       0.018 |       0.028 |   0.021 |   0.007 |   0.029 |
|       0.018 |       0.028 |   0.021 |   0.007 |   0.028 |
|       0.015 |       0.028 |   0.021 |   0.007 |   0.028 |
|       0.021 |       0.028 |   0.021 |   0.007 |   0.028 |
|       0.027 |       0.029 |   0.021 |   0.007 |   0.029 |
|       0.027 |       0.029 |   0.021 |   0.007 |   0.029 |
|       0.021 |       0.029 |   0.021 |   0.007 |   0.029 |
|       0.023 |       0.029 |   0.021 |   0.007 |   0.029 |
|       0.023 |       0.029 |   0.021 |   0.007 |   0.029 |
|       0.024 |       0.029 |   0.021 |   0.007 |   0.029 |
|       0.024 |       0.029 |   0.021 |   0.007 |   0.029 |
|       0.018 |       0.029 |   0.021 |   0.007 |   0.029 |
|       0.020 |       0.030 |   0.021 |   0.007 |   0.029 |
|       0.030 |       0.030 |   0.021 |   0.007 |   0.029 |
|       0.024 |       0.030 |   0.022 |   0.007 |   0.029 |
|       0.015 |       0.030 |   0.021 |   0.007 |   0.028 |
|       0.024 |       0.030 |   0.021 |   0.007 |   0.029 |
|       0.020 |       0.030 |   0.021 |   0.007 |   0.029 |
|       0.026 |       0.030 |   0.022 |   0.007 |   0.029 |
|       0.022 |       0.030 |   0.022 |   0.007 |   0.029 |
|       0.017 |       0.031 |   0.021 |   0.007 |   0.029 |
|       0.026 |       0.031 |   0.022 |   0.007 |   0.029 |
|       0.026 |       0.031 |   0.022 |   0.007 |   0.029 |
|       0.016 |       0.031 |   0.021 |   0.008 |   0.029 |
|       0.024 |       0.032 |   0.022 |   0.008 |   0.029 |
|       0.025 |       0.032 |   0.022 |   0.007 |   0.029 |
|       0.024 |       0.032 |   0.022 |   0.007 |   0.029 |
|       0.024 |       0.032 |   0.022 |   0.007 |   0.029 |
|       0.023 |       0.032 |   0.022 |   0.007 |   0.029 |
|       0.022 |       0.032 |   0.022 |   0.007 |   0.029 |
|       0.021 |       0.032 |   0.022 |   0.007 |   0.029 |
|       0.027 |       0.032 |   0.022 |   0.007 |   0.029 |
|       0.022 |       0.032 |   0.022 |   0.007 |   0.029 |
|       0.027 |       0.032 |   0.022 |   0.007 |   0.029 |
|       0.017 |       0.033 |   0.022 |   0.007 |   0.029 |
|       0.022 |       0.033 |   0.022 |   0.007 |   0.029 |
|       0.018 |       0.033 |   0.022 |   0.007 |   0.029 |
|       0.016 |       0.033 |   0.022 |   0.007 |   0.029 |
|       0.021 |       0.033 |   0.022 |   0.007 |   0.029 |
|       0.032 |       0.033 |   0.022 |   0.007 |   0.029 |
|       0.031 |       0.034 |   0.022 |   0.007 |   0.029 |
|       0.020 |       0.034 |   0.022 |   0.007 |   0.029 |
|       0.022 |       0.034 |   0.022 |   0.007 |   0.029 |
|       0.020 |       0.034 |   0.022 |   0.007 |   0.029 |
|       0.024 |       0.034 |   0.022 |   0.007 |   0.029 |
|       0.029 |       0.034 |   0.022 |   0.007 |   0.029 |
|       0.028 |       0.034 |   0.022 |   0.007 |   0.029 |
|       0.023 |       0.035 |   0.022 |   0.007 |   0.030 |
|       0.023 |       0.035 |   0.022 |   0.007 |   0.030 |
|       0.029 |       0.035 |   0.022 |   0.007 |   0.030 |
|       0.021 |       0.035 |   0.022 |   0.008 |   0.030 |
|       0.018 |       0.036 |   0.022 |   0.008 |   0.030 |
|       0.017 |       0.036 |   0.022 |   0.008 |   0.030 |
|       0.015 |       0.037 |   0.022 |   0.009 |   0.031 |
|       0.002 |       0.038 |   0.022 |   0.010 |   0.031 |
|       0.012 |       0.039 |   0.021 |   0.011 |   0.032 |
|       0.011 |       0.041 |   0.021 |   0.012 |   0.033 |
|       0.008 |       0.043 |   0.021 |   0.014 |   0.035 |
|       0.005 |       0.045 |   0.021 |   0.016 |   0.036 |
|       0.000 |       0.048 |   0.020 |   0.018 |   0.038 |
|       0.001 |       0.051 |   0.020 |   0.021 |   0.041 |
|      -0.005 |       0.055 |   0.019 |   0.025 |   0.044 |
|       0.016 |       0.061 |   0.019 |   0.030 |   0.049 |
|       0.056 |       0.067 |   0.020 |   0.036 |   0.056 |
|       0.042 |       0.074 |   0.020 |   0.042 |   0.063 |
|       0.039 |       0.081 |   0.021 |   0.048 |   0.069 |
